30.5,Alabama,1
29.9,Alabama,2
30,Alabama,3
29.9,Alabama,4
30.2,Alabama,5
31,Alabama,6
23.7,Alabama,7
12.6,Alabama,8
30.7,Alabama,9
31.6,Alabama,10
34.5,Alabama,11
33.4,Alabama,12
24.9,Alabama,13
34.4,Alabama,14
31.3,Alabama,15
31.1,Alabama,16
28,Alabama,17
29.7,Alabama,18
25.4,Alabama,19
20.7,Alabama,20
28,Alabama,21
36.9,Alabama,22
17.5,Alabama,23
18.4,Alabama,24
14.4,Alabama,25
33.1,Alabama,26
36.5,Alabama,27
28.7,Alabama,28
29.2,Alabama,29
31.4,Alabama,30
32.1,Alabama,31
33.8,Alabama,32
21.6,Alabama,33
27.4,Alabama,34
29.4,Alabama,35
32.5,Alabama,36
35.7,Alabama,37
36.6,Alabama,38
24.4,Alabama,39
28.5,Alabama,40
31.1,Alabama,41
32.2,Alabama,42
31.7,Alabama,43
34.7,Alabama,44
31.9,Alabama,45
34.5,Alabama,46
27.2,Alabama,47
21.5,Alabama,48
18,Alabama,49
14.9,Alabama,50
